sample_id,split,gender,discipline,clinical_experience,country,question_type,prompt,question,question_clean,answer_options,correct_answer,answer_rationale,specialty,region_specific,mentions_Africa,mentions_age,mentions_gender,tier,neg_percent,quality,rated_african,rated_correct,rated_omission,rated_hallucination,rated_reasonable,rated_harmful,rated_bias,version,requires_african_expertise,full_prompt,results,selected_option,score
a7ee602bfd80746f73e7ce59d70ab8900b0d7ebe40241007d2d050e27b823d25,test,Male,Medicine,Licensed Professional,ZA,mcq,,"You are counseling the family of a 15-year-old female with a BMI of 38 and type II diabetes on the surgical options for weight loss. 

Of the following bariatric procedures, which is most likely to produce adverse malabsorptive nutritional sequelae?

","You are counseling the family of a 15-year-old female with a BMI of 38 and type II diabetes on the surgical options for weight loss. 

Of the following bariatric procedures, which is most likely to produce adverse malabsorptive nutritional sequelae?

","{""option1"": ""Laparoscopic adjustable gastric banding (LAGB)"", ""option2"": ""Roux-en-Y gastric bypass (RYGB)"", ""option3"": ""laparoscopic sleeve gastrectomy (LSG)"", ""option4"": ""biliopancreatic diversion with duodenal switch (BPDS)"", ""option5"": ""n/a""}",option4,"A duodenal switch is a primarily malabsorptive procedure: biliopancreatic diversion with duodenal switch results in significant nutritional abnormalities including deficiencies in vitamins A, B12, D, E and K, iron and protein. RYGB may produce similar effects, though not typically to the same degree. LAGB and LSG are primarily restrictive procedures.",Pediatrics,No,0.0,1.0,1.0,expert,1.0,,0.0,,,,,,,v2,0," 
###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. ###Question
 : 
You are counseling the family of a 15-year-old female with a BMI of 38 and type II diabetes on the surgical options for weight loss. 

Of the following bariatric procedures, which is most likely to produce adverse malabsorptive nutritional sequelae?

###options: {""option1"": ""Laparoscopic adjustable gastric banding (LAGB)"", ""option2"": ""Roux-en-Y gastric bypass (RYGB)"", ""option3"": ""laparoscopic sleeve gastrectomy (LSG)"", ""option4"": ""biliopancreatic diversion with duodenal switch (BPDS)"", ""option5"": ""n/a""}","###correct answer: option4
###Rationale: Biliopancreatic diversion with duodenal switch (BPDS) is the most likely to produce adverse malabsorptive nutritional sequelae among the listed bariatric procedures. This is because BPDS involves a significant bypass of the small intestine, leading to reduced absorption of nutrients, vitamins, and minerals. While RYGB also has a malabsorptive component, it is generally less severe than BPDS. LAGB and LSG are primarily restrictive procedures and do not significantly affect nutrient absorption. Therefore, BPDS carries the highest risk of malabsorptive complications.
",option4,1
06bcc20456d81d9d68cb646e92aba0a4718b0088899d09b3effb7a43f52531d3,test,Male,Medicine,Licensed Professional,ZA,mcq,,"A 14-year-old male is being assessed for weight loss surgery.

Which of the following is an indication for surgical management?

","A 14-year-old male is being assessed for weight loss surgery.

Which of the following is an indication for surgical management?

","{""option1"": ""BMI 32 and Type II diabetes"", ""option2"": ""BMI 37 and obstructive sleep apnea"", ""option3"": ""BMI 37 and hypertension"", ""option4"": ""BMI 46 and no identifiable co-morbidities"", ""option5"": ""n/a""}",option2,Diabetes and obstructive sleep apnea are considered sever co-morbidities. Hypertension is considered a less severe co-morbidity. ,Pediatrics,No,0.0,1.0,1.0,expert,1.0,,0.0,,,,,,,v2,0," 
###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. ###Question
 : 
A 14-year-old male is being assessed for weight loss surgery.

Which of the following is an indication for surgical management?

###options: {""option1"": ""BMI 32 and Type II diabetes"", ""option2"": ""BMI 37 and obstructive sleep apnea"", ""option3"": ""BMI 37 and hypertension"", ""option4"": ""BMI 46 and no identifiable co-morbidities"", ""option5"": ""n/a""}","###correct answer: option4
###Rationale:
While options 1, 2, and 3 present plausible scenarios, the most definitive indication for bariatric surgery in an adolescent, according to established guidelines, is a BMI of 40 or more (or >99.5th percentile for age and sex) regardless of co-morbidities. A BMI of 46 clearly meets this criterion, whereas a BMI of 37 would require the presence of a significant co-morbidity (such as severe sleep apnea, T2DM or uncontrolled hypertension).
",option4,0
2d6206ab0285667d016ba210e1aeaf3caed81db107fb32e0fa4e194948f1bebf,test,Male,Medicine,Licensed Professional,ZA,mcq,,"
 A 15-year-old female presents to a specialised adolescent unit for assessment for weight-loss surgery. Her BMI for age falls on the 90th centile. 

By definition how would you classify this patient?

","
 A 15-year-old female presents to a specialised adolescent unit for assessment for weight-loss surgery. Her BMI for age falls on the 90 th centile. 

By definition how would you classify this patient?

","{""option1"": ""Obese"", ""option2"": ""Normal"", ""option3"": ""Overweight"", ""option4"": ""Severely obese"", ""option5"": ""n/a""}",option3,"The terms overweight (BMI for age and gender ≥85th percentile), obese (BMI for age and gender ≥95th percentile), and severely obese (BMI for age and gender >120% of the 95th percentile) have been used to refer to increasing grades of excess weight in children. ",Pediatrics,No,0.0,1.0,1.0,expert,1.0,,0.0,,,,,,,v2,0," 
###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. ###Question
 : 

 A 15-year-old female presents to a specialised adolescent unit for assessment for weight-loss surgery. Her BMI for age falls on the 90th centile. 

By definition how would you classify this patient?

###options: {""option1"": ""Obese"", ""option2"": ""Normal"", ""option3"": ""Overweight"", ""option4"": ""Severely obese"", ""option5"": ""n/a""}","###correct answer: option3
###Rationale: A BMI at the 90th percentile for age is the definition of overweight in children and adolescents. Obesity is typically defined as a BMI at or above the 95th percentile for age and sex.
",option3,1
85de0d8a61bbf0c8007362fc23c17cb4cd515bf75afe1ab4b0ec185acd529b17,test,Male,Medicine,Licensed Professional,ZA,mcq,,"Following resection of a patent urachus and bladder closure in a male infant, a transurethral catheter is lest in situ.

What is your post-operative plan for this patient?

","Following resection of a patent urachus and bladder closure in a male infant, a transurethral catheter is lest in situ.

What is your post-operative plan for this patient?

","{""option1"": ""Discharge when well with catheter in situ, and follow up at 1 week for removal"", ""option2"": ""Removal of catheter 24 to 48 hours post op and discharge if good urinary stream"", ""option3"": ""Inpatient ultrasound and discharge if normal"", ""option4"": ""Voiding cystourethrogram after removal of catheter at 10 to 14 days post op"", ""option5"": ""n/a""}",option4,A patent urachus requires investigation of the urinary tract to look for bladder outlet obstruction in which the urachus is functioning as a relief valve. ,Pediatrics,No,0.0,0.0,1.0,expert,1.0,,0.0,,,,,,,v2,0," 
###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. ###Question
 : 
Following resection of a patent urachus and bladder closure in a male infant, a transurethral catheter is lest in situ.

What is your post-operative plan for this patient?

###options: {""option1"": ""Discharge when well with catheter in situ, and follow up at 1 week for removal"", ""option2"": ""Removal of catheter 24 to 48 hours post op and discharge if good urinary stream"", ""option3"": ""Inpatient ultrasound and discharge if normal"", ""option4"": ""Voiding cystourethrogram after removal of catheter at 10 to 14 days post op"", ""option5"": ""n/a""}","###correct answer: option4
###Rationale: A patent urachus resection involves bladder closure, and a transurethral catheter is placed to allow healing and prevent bladder distension. Removing the catheter too early (24-48 hours, option 2) risks bladder rupture or significant urinary retention and strain on the repair. Discharging with the catheter (option 1) prolongs the risk of catheter-associated urinary tract infections and is not routinely necessary. An ultrasound (option 3) is useful for assessing fluid collections but doesn't assess the integrity of the bladder closure. A voiding cystourethrogram (VCUG) at 10-14 days (option 4) is the most appropriate step to confirm bladder integrity and rule out any leak before removing catheter, especially in a male infant where there is potential for urethral compromise.
",option4,1
7482c32ae9a860247b3449a230e5eee576e5284cd9a57f8708e22216868cbdd4,test,Male,Medicine,Licensed Professional,ZA,mcq,,"A 1-week old term baby presents with clear fluid draining from t the umbilicus. At exploration, you confirm a patent urachus

What is the most correct description of the operation required for this anomaly?","A 1-week old term baby presents with clear fluid draining from t the umbilicus. At exploration, you confirm a patent urachus

What is the most correct description of the operation required for this anomaly?","{""option1"": ""Suture ligate the patent urachus at the umbilicus"", ""option2"": ""Ligate and divide the patent urachus at the dome of the bladder"", ""option3"": ""Resect the entire patent urachus and ligate and divide at the dome of the bladder"", ""option4"": ""Excision of the patent urachus, with wedge resection at dome of bladder and formal bladder repair"", ""option5"": ""n/a""}",option4,Failure to adequately resect the patent urachus at dome of bladder may increase the risk of future malignancies,Pediatrics,No,0.0,0.0,0.0,expert,1.0,,0.0,,,,,,,v2,0," 
###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. ###Question
 : 
A 1-week old term baby presents with clear fluid draining from t the umbilicus. At exploration, you confirm a patent urachus

What is the most correct description of the operation required for this anomaly?###options: {""option1"": ""Suture ligate the patent urachus at the umbilicus"", ""option2"": ""Ligate and divide the patent urachus at the dome of the bladder"", ""option3"": ""Resect the entire patent urachus and ligate and divide at the dome of the bladder"", ""option4"": ""Excision of the patent urachus, with wedge resection at dome of bladder and formal bladder repair"", ""option5"": ""n/a""}","###correct answer: option4
###Rationale: A patent urachus is a persistent channel between the bladder and the umbilicus. The definitive treatment is complete excision of the urachal remnant to prevent recurrence and potential complications such as infection or malignancy. This involves excising the urachus all the way down to the bladder dome, followed by a wedge resection of the bladder cuff where the urachus inserts. The bladder defect created by the wedge resection must be closed in two layers to ensure a watertight seal and prevent urine leakage. Options 1 and 2 are incomplete and likely to result in recurrence. Option 3 might be considered, but the wedge resection and bladder repair as described in option 4 is the gold standard to remove any urachal sinus/diverticulum at the bladder dome and ensure complete removal and prevent complications
",option4,1
03833fa3fcd1dc1c02317c0359804bf36433f93412fc7c0e5e42d4f3cca611b9,test,Male,Medicine,Licensed Professional,ZA,mcq,,"A 3-year-old child with no significant medical or surgical history presents with bowel obstruction and is taken to theatre for exploratory laparotomy. At laparotomy you find a loop of small intestine volved around a fibrous band which extends from the umbilicus to the jejunum. 

What is the most likely cause of this finding?

","A 3-year-old child with no significant medical or surgical history presents with bowel obstruction and is taken to theatre for exploratory laparotomy. At laparotomy you find a loop of small intestine volved around a fibrous band which extends from the umbilicus to the jejunum. 

What is the most likely cause of this finding?

","{""option1"": ""adhesive bowel obstruction"", ""option2"": ""omphalomesenteric duct remnant"", ""option3"": ""internal hernia"", ""option4"": ""remnant of the omphalomesenteric artery"", ""option5"": ""n/a""}",option4,The child has no history of previous surgery making adhesive bowel obstruction unlikely. Failure of regression of a dominant omphalomesenteric artery may result in a fibrous band extending from the umbilicus to the small intestine. ,Pediatrics,No,0.0,1.0,0.0,expert,1.0,,0.0,,,,,,,v2,0," 
###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. ###Question
 : 
A 3-year-old child with no significant medical or surgical history presents with bowel obstruction and is taken to theatre for exploratory laparotomy. At laparotomy you find a loop of small intestine volved around a fibrous band which extends from the umbilicus to the jejunum. 

What is the most likely cause of this finding?

###options: {""option1"": ""adhesive bowel obstruction"", ""option2"": ""omphalomesenteric duct remnant"", ""option3"": ""internal hernia"", ""option4"": ""remnant of the omphalomesenteric artery"", ""option5"": ""n/a""}","###Correct answer: option2
###Rationale: The fibrous band extending from the umbilicus to the jejunum is highly suggestive of an omphalomesenteric duct remnant (also known as a Meckel's diverticulum when a pouch is present). This duct connects the yolk sac to the midgut during fetal development and normally obliterates. Failure of obliteration can lead to various anomalies, including a fibrous band, which can act as a point of fixation around which the bowel can volvulize, leading to obstruction. While adhesive bowel obstruction (option 1) is possible, it is less likely in a child with no prior surgery. Internal hernia (option 3) is also a possibility but less likely given the presence of a fibrous band. The omphalomesenteric artery involutes differently and doesn't typically present as a fibrous band causing obstruction in this manner (option 4).
",option2,0
18fad4532780a441877ef7a155b05821f43af0ac894e5c98ff8d46102d0074b1,test,Male,Medicine,Licensed Professional,ZA,mcq,,"A newborn presents with fever, tachycardia and erythema around the umbilicus. 
What is your immediate management for this child?","A newborn presents with fever, tachycardia and erythema around the umbilicus. 
What is your immediate management for this child?","{""option1"": ""Surgical debridement"", ""option2"": ""Incision and drainage"", ""option3"": ""Intravenous antibiotics"", ""option4"": ""Oral antibiotics and observation"", ""option5"": ""n/a""}",option3,"Based on suspicion of omphalitis. The immediate management of this condition in the absence of any clinical features of necrotizing fasciitis is admission and intravenous antibiotics. If the cellulitis progresses despite treatment, surgical exploration is warranted. ",Pediatrics,No,0.0,1.0,0.0,expert,1.0,,0.0,,,,,,,v2,0," 
###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. ###Question
 : 
A newborn presents with fever, tachycardia and erythema around the umbilicus. 
What is your immediate management for this child?###options: {""option1"": ""Surgical debridement"", ""option2"": ""Incision and drainage"", ""option3"": ""Intravenous antibiotics"", ""option4"": ""Oral antibiotics and observation"", ""option5"": ""n/a""}","###correct answer: option3
###Rationale: The newborn is presenting with signs of omphalitis (infection of the umbilical stump). Fever, tachycardia, and erythema around the umbilicus are all concerning signs of a systemic infection. Immediate management should include intravenous antibiotics to combat the infection rapidly and prevent potential complications like sepsis. Surgical debridement is usually reserved for cases with necrosis or abscess formation unresponsive to antibiotics. Incision and drainage might be necessary if there is a localized abscess, but antibiotics are the priority. Oral antibiotics would not be sufficient in this case given the systemic signs and risk of rapid progression in a neonate. Observation alone is inappropriate.
",option3,1
76c707d96ba337d6a4943b5012958441a7e2ba38707934d80ab4d6a7ca311924,test,Male,Medicine,Licensed Professional,ZA,mcq,,"You are asked to review a 2-month old infant admitted to paediatrics with a severe lower respiratory tract infection. On examination you note that the umbilical cord has not yet separated.

What would your advice to the paediatrician be?

","You are asked to review a 2-month old infant admitted to paediatrics with a severe lower respiratory tract infection. On examination you note that the umbilical cord has not yet separated.

What would your advice to the paediatrician be?

","{""option1"": ""Apply daily chlorhexidine to the cord"", ""option2"": ""Suture ligated the excess cord"", ""option3"": ""Investigate for neutrophil mobility defects"", ""option4"": ""Investigate for vertical transmission of HIV"", ""option5"": ""n/a""}",option3,The normal time for separation of the umbilical cord after birth ranges from 3 days to 2 months. Delayed separation of the umbilical cord has been associated with heritable neutrophil mobility defects and widespread infections that are often lethal.,Pediatrics,No,0.0,0.0,0.0,expert,1.0,,0.0,,,,,,,v2,0," 
###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. ###Question
 : 
You are asked to review a 2-month old infant admitted to paediatrics with a severe lower respiratory tract infection. On examination you note that the umbilical cord has not yet separated.

What would your advice to the paediatrician be?

###options: {""option1"": ""Apply daily chlorhexidine to the cord"", ""option2"": ""Suture ligated the excess cord"", ""option3"": ""Investigate for neutrophil mobility defects"", ""option4"": ""Investigate for vertical transmission of HIV"", ""option5"": ""n/a""}","###correct answer: option3
###Rationale: Delayed umbilical cord separation, defined as separation after 3 weeks of life, is a red flag for underlying immune deficiencies, particularly neutrophil dysfunction such as Leukocyte Adhesion Deficiency (LAD). While chlorhexidine application (option 1) is good practice for cord care, it doesn't address the underlying cause of the delay. Suturing (option 2) is not indicated for a non-infected, delayed separation. HIV (option 4) can impact immune function, but delayed cord separation is not a primary indicator of vertical HIV transmission. A neutrophil mobility defect is the most likely cause to investigate in this scenario.
",option3,1
413b63ec57cdc3c56814fbf81eb5f5a87df262dc732a6f0adc9c1b1f867b4efc,test,Male,Medicine,Licensed Professional,ZA,mcq,,"A two-week old newborn is brought to the surgical clinic with and undifferentiated lesion of the umbilicus. Prior to any investigations the parents would like to know what it could be and what it is caused by.

Which of the following options regarding variants of normal embryological structures is correctly paired?

","A two-week old newborn is brought to the surgical clinic with and undifferentiated lesion of the umbilicus. Prior to any investigations the parents would like to know what it could be and what it is caused by.

Which of the following options regarding variants of normal embryological structures is correctly paired?

","{""option1"": ""Meckel diverticulum originating from the urachus"", ""option2"": ""Umbilical polyp originating from remnants of the omphalomesenteric duct"", ""option3"": ""Umbilical granuloma originating from the omphalomesenteric vein"", ""option4"": ""Patent urachus originating from the allantois"", ""option5"": ""n/a""}",option2,Meckel diverticulum originates from the omphalomesenteric duct. Umbilical polyps are omphalomesenteric duct remnants. Umbilical granulomas consist of granulation tissue only. A patent urachus results from failure of the urachus to obliterate. ,Pediatrics,No,0.0,0.0,0.0,expert,1.0,,0.0,,,,,,,v2,0," 
###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. ###Question
 : 
A two-week old newborn is brought to the surgical clinic with and undifferentiated lesion of the umbilicus. Prior to any investigations the parents would like to know what it could be and what it is caused by.

Which of the following options regarding variants of normal embryological structures is correctly paired?

###options: {""option1"": ""Meckel diverticulum originating from the urachus"", ""option2"": ""Umbilical polyp originating from remnants of the omphalomesenteric duct"", ""option3"": ""Umbilical granuloma originating from the omphalomesenteric vein"", ""option4"": ""Patent urachus originating from the allantois"", ""option5"": ""n/a""}","###correct answer: option4
###Rationale:
A patent urachus is a remnant of the allantois, which connects the fetal bladder to the umbilicus. If this connection fails to close after birth, it results in a patent urachus. An umbilical polyp originates from remnants of the omphalomesenteric duct, also known as the vitelline duct. A Meckel diverticulum is also a remnant of the omphalomesenteric duct. An umbilical granuloma is an inflammatory response to the healing process of the umbilical stump, not a specific remnant of a defined embryological structure such as the omphalomesenteric vein.
",option4,0
c26d12a61dc3360a3ba48aa69071be23249287cebd5810f43eeb4bf4ab662813,test,Male,Medicine,Licensed Professional,ZA,mcq,,"A 4 year old girl falls from the balcony of an apartment on the third floor. On arrival in the Emergency Room she is haemodynamically stable. Initial radiographs demonstrate a right femur fracture and bilateral tibia fractures. Her chest radiograph shows no rib or sternal fractures. There is no pneumo or haemothorax. Despite this, her Sats drop to 86% on nasal prong oxygen, and she develops subcostal recessions. 

What is the most likely cause for her respiratory distress?
","A 4 year old girl falls from the balcony of an apartment on the third floor. On arrival in the Emergency Room she is haemodynamically stable. Initial radiographs demonstrate a right femur fracture and bilateral tibia fractures. Her chest radiograph shows no rib or sternal fractures. There is no pneumo or haemothorax. Despite this, her Sats drop to 86% on nasal prong oxygen, and she develops subcostal recessions. 

What is the most likely cause for her respiratory distress?
","{""option1"": ""Cardiac contusion"", ""option2"": ""Fat embolism"", ""option3"": ""Aspiration pneumonia"", ""option4"": ""Pulmonary contusion"", ""option5"": ""n/a""}",option4,"Pulmonary contusion is the common in children who sustain blunt chest trauma, owing to the increased compliance of the thoracic cavity in a child. As such, the chest can absorb a large amount of kinetic energy from the impact, which is subsequently transferred to the intrathoracic structures. An initial chest radiograph may be normal. Subsequent x-rays may reveal ill-defined consolidation which is not sensitive for contusion, with differentials including aspiration, atelectasis, and infection.",Pediatrics,No,0.0,1.0,1.0,expert,1.0,,0.0,,,,,,,v2,0," 
###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. ###Question
 : 
A 4 year old girl falls from the balcony of an apartment on the third floor. On arrival in the Emergency Room she is haemodynamically stable. Initial radiographs demonstrate a right femur fracture and bilateral tibia fractures. Her chest radiograph shows no rib or sternal fractures. There is no pneumo or haemothorax. Despite this, her Sats drop to 86% on nasal prong oxygen, and she develops subcostal recessions. 

What is the most likely cause for her respiratory distress?
###options: {""option1"": ""Cardiac contusion"", ""option2"": ""Fat embolism"", ""option3"": ""Aspiration pneumonia"", ""option4"": ""Pulmonary contusion"", ""option5"": ""n/a""}","###correct answer: option4
###Rationale: While all options are possible after a significant fall, pulmonary contusion is the most likely cause of respiratory distress in this scenario. The patient has sustained significant trauma (femur and tibia fractures) and is developing hypoxemia and respiratory distress (subcostal recessions) despite being initially hemodynamically stable and having no immediate evidence of pneumothorax or hemothorax.

Here's why the other options are less likely:

*   **Cardiac contusion:** Although possible, cardiac contusion is less likely to present with hypoxemia as the primary finding. Cardiac contusions can cause arrhythmias, hypotension, or heart failure.
*   **Fat embolism:** Fat embolism is a possibility given the long bone fractures, but it typically presents 24-72 hours after the injury. The acute onset of respiratory distress makes it less likely. Fat embolism also frequently has neurological symptoms and a petechial rash.
*   **Aspiration pneumonia:** While aspiration is possible, it's less likely without any reported vomiting or witnessed aspiration event. Also, aspiration pneumonia would usually take longer to develop than the time frame described. The chest X-ray is also initially clear.
*   **Pulmonary contusion:** Pulmonary contusion results from direct trauma to the lung tissue, leading to hemorrhage and edema within the lung parenchyma. This impairs gas exchange, resulting in hypoxemia and respiratory distress. The lack of rib fractures doesn't rule out pulmonary contusion, as the force of the impact can still damage the underlying lung tissue. In children, the chest wall is more compliant which can transmit more energy to the underlying lung leading to pulmonary contusions without rib fractures.
",option4,1
