sample_id,question,rationale,options_len,answer,A,B,C,D,E,model_prompt,outputs,preds,correct
a7ee602bfd80746f73e7ce59d70ab8900b0d7ebe40241007d2d050e27b823d25,"You are counseling the family of a 15-year-old female with a BMI of 38 and type II diabetes on the surgical options for weight loss. 

Of the following bariatric procedures, which is most likely to produce adverse malabsorptive nutritional sequelae?

","A duodenal switch is a primarily malabsorptive procedure: biliopancreatic diversion with duodenal switch results in significant nutritional abnormalities including deficiencies in vitamins A, B12, D, E and K, iron and protein. RYGB may produce similar effects, though not typically to the same degree. LAGB and LSG are primarily restrictive procedures.",4,D,Laparoscopic adjustable gastric banding (LAGB),Roux-en-Y gastric bypass (RYGB),laparoscopic sleeve gastrectomy (LSG),biliopancreatic diversion with duodenal switch (BPDS),,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: You are counseling the family of a 15-year-old female with a BMI of 38 and type II diabetes on the surgical options for weight loss. 

Of the following bariatric procedures, which is most likely to produce adverse malabsorptive nutritional sequelae?


###Options:
A.  Laparoscopic adjustable gastric banding (LAGB)
B.  Roux-en-Y gastric bypass (RYGB)
C.  laparoscopic sleeve gastrectomy (LSG)
D.  biliopancreatic diversion with duodenal switch (BPDS)

###Answer:","The correct answer is D. biliopancreatic diversion with duodenal switch (BPDS).

Rationale:
BPDS is the most malabsorptive of all the bariatric procedures listed and therefore has the highest risk of nutritional deficiencies. This procedure involves two components: a sleeve gastrectomy and a bypass of a large portion of the small intestine. It significantly reduces the amount of intestine available for nutrient absorption, particularly for fat and fat-soluble vitamins (A, D, E, and K), as well as protein, calcium, iron, and various micronutrients.

The other procedures have less severe malabsorptive effects:
- Laparoscopic adjustable gastric banding (LAGB) is purely restrictive with no malabsorptive component.
- Laparoscopic sleeve gastrectomy (LSG) is also primarily restrictive with minimal impact on absorption.
- Roux-en-Y gastric bypass (RYGB) does have a malabsorptive component but to a much lesser degree than BPDS.

Due to the significant malabsorptive effects, patients who undergo BPDS require the most intensive nutritional monitoring and lifelong vitamin and mineral supplementation to prevent deficiencies.",D,True
06bcc20456d81d9d68cb646e92aba0a4718b0088899d09b3effb7a43f52531d3,"A 14-year-old male is being assessed for weight loss surgery.

Which of the following is an indication for surgical management?

",Diabetes and obstructive sleep apnea are considered sever co-morbidities. Hypertension is considered a less severe co-morbidity. ,4,B,BMI 32 and Type II diabetes,BMI 37 and obstructive sleep apnea,BMI 37 and hypertension,BMI 46 and no identifiable co-morbidities,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: A 14-year-old male is being assessed for weight loss surgery.

Which of the following is an indication for surgical management?


###Options:
A.  BMI 32 and Type II diabetes
B.  BMI 37 and obstructive sleep apnea
C.  BMI 37 and hypertension
D.  BMI 46 and no identifiable co-morbidities

###Answer:","B. BMI 37 and obstructive sleep apnea

Rationale: For adolescents, weight loss surgery (bariatric surgery) has specific criteria that differ slightly from adults. According to clinical guidelines, adolescents are considered candidates for weight loss surgery if they have:

1. BMI ≥35 kg/m² with major comorbidities such as type 2 diabetes, obstructive sleep apnea, or severe nonalcoholic steatohepatitis
OR
2. BMI ≥40 kg/m² with or without comorbidities

In this case, option B (BMI 37 and obstructive sleep apnea) meets the criteria because the patient has a BMI >35 with a major comorbidity (obstructive sleep apnea).

Option A is incorrect because a BMI of 32 is below the threshold even with Type II diabetes.
Option C (BMI 37 and hypertension) would be a consideration, but obstructive sleep apnea is generally considered a more severe comorbidity.
Option D (BMI 46 with no comorbidities) would also qualify based on BMI alone, but option B represents the standard indication that combines both elevated BMI and a significant comorbidity.",B,True
2d6206ab0285667d016ba210e1aeaf3caed81db107fb32e0fa4e194948f1bebf,"
 A 15-year-old female presents to a specialised adolescent unit for assessment for weight-loss surgery. Her BMI for age falls on the 90th centile. 

By definition how would you classify this patient?

","The terms overweight (BMI for age and gender ≥85th percentile), obese (BMI for age and gender ≥95th percentile), and severely obese (BMI for age and gender >120% of the 95th percentile) have been used to refer to increasing grades of excess weight in children. ",4,C,Obese,Normal,Overweight,Severely obese,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: 
 A 15-year-old female presents to a specialised adolescent unit for assessment for weight-loss surgery. Her BMI for age falls on the 90th centile. 

By definition how would you classify this patient?


###Options:
A.  Obese
B.  Normal
C.  Overweight
D.  Severely obese

###Answer:","C. Overweight

Rationale: BMI classification for children and adolescents uses age and sex-specific percentiles rather than the fixed cutoffs used for adults. According to standard pediatric growth charts and classifications:

- Underweight: BMI less than the 5th percentile
- Normal weight: BMI from the 5th percentile to less than the 85th percentile
- Overweight: BMI from the 85th percentile to less than the 95th percentile
- Obese: BMI at or above the 95th percentile
- Severely obese: BMI at or above the 99th percentile (or ≥120% of the 95th percentile)

Since this patient's BMI falls on the 90th percentile, she is classified as overweight, not obese. She falls between the 85th and 95th percentiles, which is the definition of overweight in pediatric populations.",C,True
85de0d8a61bbf0c8007362fc23c17cb4cd515bf75afe1ab4b0ec185acd529b17,"Following resection of a patent urachus and bladder closure in a male infant, a transurethral catheter is lest in situ.

What is your post-operative plan for this patient?

",A patent urachus requires investigation of the urinary tract to look for bladder outlet obstruction in which the urachus is functioning as a relief valve. ,4,D,"Discharge when well with catheter in situ, and follow up at 1 week for removal",Removal of catheter 24 to 48 hours post op and discharge if good urinary stream,Inpatient ultrasound and discharge if normal,Voiding cystourethrogram after removal of catheter at 10 to 14 days post op,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Following resection of a patent urachus and bladder closure in a male infant, a transurethral catheter is lest in situ.

What is your post-operative plan for this patient?


###Options:
A.  Discharge when well with catheter in situ, and follow up at 1 week for removal
B.  Removal of catheter 24 to 48 hours post op and discharge if good urinary stream
C.  Inpatient ultrasound and discharge if normal
D.  Voiding cystourethrogram after removal of catheter at 10 to 14 days post op

###Answer:","The correct answer is B. Removal of catheter 24 to 48 hours post op and discharge if good urinary stream.

Rationale:
After resection of a patent urachus and bladder closure, the transurethral catheter is placed to allow the bladder to heal properly and prevent tension on the bladder closure suture line. The standard post-operative management for this procedure involves:

1. Short-term catheter drainage (24-48 hours) to allow the bladder closure to heal initially
2. Early catheter removal once the bladder wound has sealed adequately
3. Observation of spontaneous voiding with a good urinary stream before discharge

Once the catheter is removed and the infant demonstrates a good urinary stream, this confirms that there is no obstruction and that the bladder closure is intact. The relatively short duration of catheterization (24-48 hours) is generally sufficient for healing while minimizing the risks of catheter-associated urinary tract infections.

Options A (prolonged catheterization for a week), C (discharge based solely on ultrasound), and D (delayed catheter removal with VCUG) represent more aggressive and unnecessary management approaches for an uncomplicated patent urachus repair, which would increase hospital stay and subject the infant to additional procedures without clear benefit.",B,False
7482c32ae9a860247b3449a230e5eee576e5284cd9a57f8708e22216868cbdd4,"A 1-week old term baby presents with clear fluid draining from t the umbilicus. At exploration, you confirm a patent urachus

What is the most correct description of the operation required for this anomaly?",Failure to adequately resect the patent urachus at dome of bladder may increase the risk of future malignancies,4,D,Suture ligate the patent urachus at the umbilicus,Ligate and divide the patent urachus at the dome of the bladder,Resect the entire patent urachus and ligate and divide at the dome of the bladder,"Excision of the patent urachus, with wedge resection at dome of bladder and formal bladder repair",,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: A 1-week old term baby presents with clear fluid draining from t the umbilicus. At exploration, you confirm a patent urachus

What is the most correct description of the operation required for this anomaly?
###Options:
A.  Suture ligate the patent urachus at the umbilicus
B.  Ligate and divide the patent urachus at the dome of the bladder
C.  Resect the entire patent urachus and ligate and divide at the dome of the bladder
D.  Excision of the patent urachus, with wedge resection at dome of bladder and formal bladder repair

###Answer:","The correct answer is D. Excision of the patent urachus, with wedge resection at dome of bladder and formal bladder repair.

Rationale:
A patent urachus is a congenital anomaly where there remains an open communication between the bladder and the umbilicus. This occurs when the urachus, which normally obliterates to form the median umbilical ligament, remains patent after birth.

The proper surgical management requires complete excision of the entire urachal tract to prevent complications such as infection, urine leakage, or potential malignant transformation later in life. Simply ligating the urachus at the umbilicus (option A) would leave the abnormal tract in place, risking cyst formation or recurrence.

Ligating and dividing at the dome of the bladder (option B) would also leave remnant urachal tissue behind, which is inadequate treatment.

Complete resection of the patent urachus without bladder repair (option C) would be insufficient because the connection to the bladder dome needs to be properly closed to prevent leakage or fistula formation.

The correct approach (option D) involves complete excision of the entire urachal tract, combined with a wedge resection at the bladder dome where the urachus inserts, followed by a formal, watertight closure of the bladder. This comprehensive approach removes all abnormal tissue and properly repairs the bladder, minimizing the risk of recurrence or complications.",D,True
03833fa3fcd1dc1c02317c0359804bf36433f93412fc7c0e5e42d4f3cca611b9,"A 3-year-old child with no significant medical or surgical history presents with bowel obstruction and is taken to theatre for exploratory laparotomy. At laparotomy you find a loop of small intestine volved around a fibrous band which extends from the umbilicus to the jejunum. 

What is the most likely cause of this finding?

",The child has no history of previous surgery making adhesive bowel obstruction unlikely. Failure of regression of a dominant omphalomesenteric artery may result in a fibrous band extending from the umbilicus to the small intestine. ,4,D,adhesive bowel obstruction,omphalomesenteric duct remnant,internal hernia,remnant of the omphalomesenteric artery,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: A 3-year-old child with no significant medical or surgical history presents with bowel obstruction and is taken to theatre for exploratory laparotomy. At laparotomy you find a loop of small intestine volved around a fibrous band which extends from the umbilicus to the jejunum. 

What is the most likely cause of this finding?


###Options:
A.  adhesive bowel obstruction
B.  omphalomesenteric duct remnant
C.  internal hernia
D.  remnant of the omphalomesenteric artery

###Answer:","I'll choose the correct option and provide a rationale.

B. omphalomesenteric duct remnant

Rationale: This case describes a classic presentation of an omphalomesenteric duct remnant (also called vitellointestinal duct remnant or Meckel's band). The key features supporting this diagnosis are:

1) The patient's age (3 years old) is typical for congenital intestinal anomalies to present with obstruction
2) The specific finding of a fibrous band extending from the umbilicus to the jejunum is characteristic of an omphalomesenteric duct remnant
3) The omphalomesenteric duct normally connects the midgut to the yolk sac during embryonic development and usually completely obliterates. When it persists partially, it can form a fibrous band that may cause bowel obstruction by acting as an axis for volvulus

This differs from:
- Adhesive bowel obstruction (incorrect because the child has no surgical history to cause adhesions)
- Internal hernia (which would present as bowel herniating through a defect rather than a band causing volvulus)
- Remnant of the omphalomesenteric artery (which is not a recognized clinical entity - the vitelline arteries become other structures)",I,False
18fad4532780a441877ef7a155b05821f43af0ac894e5c98ff8d46102d0074b1,"A newborn presents with fever, tachycardia and erythema around the umbilicus. 
What is your immediate management for this child?","Based on suspicion of omphalitis. The immediate management of this condition in the absence of any clinical features of necrotizing fasciitis is admission and intravenous antibiotics. If the cellulitis progresses despite treatment, surgical exploration is warranted. ",4,C,Surgical debridement,Incision and drainage,Intravenous antibiotics,Oral antibiotics and observation,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: A newborn presents with fever, tachycardia and erythema around the umbilicus. 
What is your immediate management for this child?
###Options:
A.  Surgical debridement
B.  Incision and drainage
C.  Intravenous antibiotics
D.  Oral antibiotics and observation

###Answer:","C. Intravenous antibiotics

Rationale: The newborn is presenting with fever, tachycardia, and erythema around the umbilicus, which are classic signs of omphalitis (umbilical infection). This is a potentially life-threatening condition in newborns as infection can spread rapidly to the bloodstream causing sepsis. The immediate management requires aggressive treatment with intravenous antibiotics to quickly achieve therapeutic blood levels and control the infection. Surgical debridement or incision and drainage might be needed later depending on the progression, but are not the immediate first-line management. Oral antibiotics with observation would be insufficient given the severity of the presentation and the high risk of rapid deterioration in newborns with infections.",C,True
76c707d96ba337d6a4943b5012958441a7e2ba38707934d80ab4d6a7ca311924,"You are asked to review a 2-month old infant admitted to paediatrics with a severe lower respiratory tract infection. On examination you note that the umbilical cord has not yet separated.

What would your advice to the paediatrician be?

",The normal time for separation of the umbilical cord after birth ranges from 3 days to 2 months. Delayed separation of the umbilical cord has been associated with heritable neutrophil mobility defects and widespread infections that are often lethal.,4,C,Apply daily chlorhexidine to the cord,Suture ligated the excess cord,Investigate for neutrophil mobility defects,Investigate for vertical transmission of HIV,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: You are asked to review a 2-month old infant admitted to paediatrics with a severe lower respiratory tract infection. On examination you note that the umbilical cord has not yet separated.

What would your advice to the paediatrician be?


###Options:
A.  Apply daily chlorhexidine to the cord
B.  Suture ligated the excess cord
C.  Investigate for neutrophil mobility defects
D.  Investigate for vertical transmission of HIV

###Answer:","I'll answer this multiple choice question.

The correct answer is C. Investigate for neutrophil mobility defects.

Rationale: The normal umbilical cord separation occurs within 1-2 weeks of birth, with an average time of 5-15 days. By 2 months of age, the umbilical cord should have separated completely. Delayed cord separation (beyond 3-4 weeks) is abnormal and often suggests an underlying immune dysfunction, particularly defects in neutrophil function or mobility. Neutrophils are essential for the inflammatory process that leads to cord separation, and defects in neutrophil function can significantly delay this process. Conditions such as leukocyte adhesion deficiency (LAD) are characterized by impaired neutrophil chemotaxis and adhesion, with delayed umbilical cord separation being a classic presenting sign.

Option A (applying chlorhexidine) is incorrect as this is a treatment approach rather than a diagnostic one, and wouldn't address the underlying cause of delayed cord separation at 2 months.

Option B (suture ligation) is incorrect as it's merely a procedural intervention without addressing the reason for delayed separation.

Option D (investigating for HIV) is incorrect because while HIV can cause immune dysfunction, delayed cord separation is not a typical presentation of vertical HIV transmission. The neutrophil defects are a more common and specific cause of this finding.

The presence of a severe lower respiratory tract infection in this context further supports investigating immune dysfunction, particularly neutrophil problems, as these patients are often susceptible to recurrent infections.",C,True
413b63ec57cdc3c56814fbf81eb5f5a87df262dc732a6f0adc9c1b1f867b4efc,"A two-week old newborn is brought to the surgical clinic with and undifferentiated lesion of the umbilicus. Prior to any investigations the parents would like to know what it could be and what it is caused by.

Which of the following options regarding variants of normal embryological structures is correctly paired?

",Meckel diverticulum originates from the omphalomesenteric duct. Umbilical polyps are omphalomesenteric duct remnants. Umbilical granulomas consist of granulation tissue only. A patent urachus results from failure of the urachus to obliterate. ,4,B,Meckel diverticulum originating from the urachus,Umbilical polyp originating from remnants of the omphalomesenteric duct,Umbilical granuloma originating from the omphalomesenteric vein,Patent urachus originating from the allantois,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: A two-week old newborn is brought to the surgical clinic with and undifferentiated lesion of the umbilicus. Prior to any investigations the parents would like to know what it could be and what it is caused by.

Which of the following options regarding variants of normal embryological structures is correctly paired?


###Options:
A.  Meckel diverticulum originating from the urachus
B.  Umbilical polyp originating from remnants of the omphalomesenteric duct
C.  Umbilical granuloma originating from the omphalomesenteric vein
D.  Patent urachus originating from the allantois

###Answer:","D. Patent urachus originating from the allantois

Rationale: The urachus is a tubular structure that connects the bladder to the umbilicus during fetal development. It is derived from the allantois, which is an extraembryonic membrane that extends from the hindgut into the umbilical cord. Normally, the urachus obliterates before birth to form the median umbilical ligament. If it fails to completely obliterate, it results in a patent urachus, where urine can leak from the umbilicus.

The other options contain incorrect pairings:
- Meckel diverticulum originates from the omphalomesenteric duct (vitelline duct), not the urachus
- Umbilical polyp originates from remnants of the urachus, not the omphalomesenteric duct
- Umbilical granuloma is not embryological in origin but is an inflammatory reaction to the healing umbilical stump, not related to the omphalomesenteric vein",D,False
c26d12a61dc3360a3ba48aa69071be23249287cebd5810f43eeb4bf4ab662813,"A 4 year old girl falls from the balcony of an apartment on the third floor. On arrival in the Emergency Room she is haemodynamically stable. Initial radiographs demonstrate a right femur fracture and bilateral tibia fractures. Her chest radiograph shows no rib or sternal fractures. There is no pneumo or haemothorax. Despite this, her Sats drop to 86% on nasal prong oxygen, and she develops subcostal recessions. 

What is the most likely cause for her respiratory distress?
","Pulmonary contusion is the common in children who sustain blunt chest trauma, owing to the increased compliance of the thoracic cavity in a child. As such, the chest can absorb a large amount of kinetic energy from the impact, which is subsequently transferred to the intrathoracic structures. An initial chest radiograph may be normal. Subsequent x-rays may reveal ill-defined consolidation which is not sensitive for contusion, with differentials including aspiration, atelectasis, and infection.",4,D,Cardiac contusion,Fat embolism,Aspiration pneumonia,Pulmonary contusion,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: A 4 year old girl falls from the balcony of an apartment on the third floor. On arrival in the Emergency Room she is haemodynamically stable. Initial radiographs demonstrate a right femur fracture and bilateral tibia fractures. Her chest radiograph shows no rib or sternal fractures. There is no pneumo or haemothorax. Despite this, her Sats drop to 86% on nasal prong oxygen, and she develops subcostal recessions. 

What is the most likely cause for her respiratory distress?

###Options:
A.  Cardiac contusion
B.  Fat embolism
C.  Aspiration pneumonia
D.  Pulmonary contusion

###Answer:","I'll answer this multiple choice question directly.

The correct answer is D. Pulmonary contusion.

Rationale: 
In this scenario, a 4-year-old child has fallen from a significant height (third-floor balcony) and subsequently developed respiratory distress despite initially appearing stable and having a normal chest radiograph. Pulmonary contusion is the most likely diagnosis based on several key factors:

1. Mechanism of injury: A fall from height is a classic mechanism for pulmonary contusion due to the rapid deceleration forces transmitted to the lung parenchyma.

2. Delayed presentation: Pulmonary contusions often do not appear on initial chest radiographs and typically develop or worsen over 24-48 hours after trauma. The normal initial chest X-ray does not rule out this diagnosis.

3. Clinical findings: The development of hypoxemia (O2 sats of 86%) and subcostal recessions (signs of increased work of breathing) after initially being stable is consistent with evolving pulmonary contusion.

The other options are less likely:
- Cardiac contusion (A) would typically present with dysrhythmias or signs of cardiac dysfunction
- Fat embolism (B) is more common in adults and usually develops 24-72 hours after long bone fractures with additional symptoms like petechial rash and neurological changes
- Aspiration pneumonia (C) would be unlikely in this timeframe unless the child had lost consciousness or vomited during the incident, which wasn't mentioned

Pulmonary contusion can occur even without external chest wall injuries like rib fractures, particularly in children whose more compliant chest walls transmit force to the underlying lung without breaking.",D,True
