,model,score
0,claude-3-5-sonnet,0.81586
1,claude-3-7-sonnet,0.78286
2,claude-3-haiku,0.70307
3,claude-3-opus,0.78517
4,claude-3-sonnet,0.68798
5,deepseek-distill-qwen32b,0.46982
6,gemini-2.0-flash,0.75652
7,gemini-2.0-pro-exp,0.75499
8,gemini-pro-1.5,0.63402
9,gemini-ultra,0.77928
10,gemma-3-27b-it,0.70921
11,gemma2-27b,0.59668
12,gemma2-2b,0.36292
13,gemma2-9b,0.5688
14,gpt-3.5-turbo,0.59182
15,gpt-4o-mini,0.74373
16,gpt-4o,0.8289
17,gpt-4,0.78926
18,JSL-MedLlama-3-8B-v2.0,0.60179
19,Llama-3.3-70B,0.73683
20,llama-4-maverick-17b-128e-it,0.74322
21,llama3-405b-instruct-maas,0.80077
22,Llama3-OpenBioLLM-70B,0.64373
23,Llama3-OpenBioLLM-8B,0.47776
24,meditron,0.53632
25,Meta-Llama-3-70B-Instruct,0.77494
26,Meta-Llama-3-8B,0.50435
27,Meta-Llama-3.1-8B-Instruct,0.65396
28,Mistral-7B-Instruct-v0.2,0.51176
29,Mistral-7B-Instruct-v0.3,0.53734
30,Mixtral-8x7B-Instruct-v0.1,0.64118
31,o1,0.8422
32,Phi-3-medium-128k-instruct,0.70486
33,Phi-3-mini-128k-instruct,0.62148
34,Phi-3-mini-4k-instruct,0.62788
35,phi-4-mini-4k-instruct,0.56087
36,phi4,0.73836
37,pmc,0.49744
38,qwen-2.5-32b,0.70256
