sample_id,question,rationale,options_len,answer,A,B,C,D,E,model_prompt,outputs,preds,correct,full_prompt
a7ee602bfd80746f73e7ce59d70ab8900b0d7ebe40241007d2d050e27b823d25,"You are counseling the family of a 15-year-old female with a BMI of 38 and type II diabetes on the surgical options for weight loss. 

Of the following bariatric procedures, which is most likely to produce adverse malabsorptive nutritional sequelae?

","A duodenal switch is a primarily malabsorptive procedure: biliopancreatic diversion with duodenal switch results in significant nutritional abnormalities including deficiencies in vitamins A, B12, D, E and K, iron and protein. RYGB may produce similar effects, though not typically to the same degree. LAGB and LSG are primarily restrictive procedures.",4,D,Laparoscopic adjustable gastric banding (LAGB),Roux-en-Y gastric bypass (RYGB),laparoscopic sleeve gastrectomy (LSG),biliopancreatic diversion with duodenal switch (BPDS),,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: You are counseling the family of a 15-year-old female with a BMI of 38 and type II diabetes on the surgical options for weight loss. 

Of the following bariatric procedures, which is most likely to produce adverse malabsorptive nutritional sequelae?


###Options:
A.  Laparoscopic adjustable gastric banding (LAGB)
B.  Roux-en-Y gastric bypass (RYGB)
C.  laparoscopic sleeve gastrectomy (LSG)
D.  biliopancreatic diversion with duodenal switch (BPDS)

###Answer:","Answer: D. biliopancreatic diversion with duodenal switch (BPDS)

Rationale: Among the listed procedures, the BPDS most significantly bypasses the duodenum and parts of the small intestine, reducing the length of the absorptive surface and leading to substantial malabsorption. While Roux-en-Y gastric bypass also includes a bypass component, it is generally less extensive than with BPDS, and laparoscopic adjustable gastric banding and sleeve gastrectomy produce less malabsorption compared to the biliopancreatic diversion with duodenal switch.",D,True,"
###Instruction: You are a skilled doctor with years of experience in the medical field in Africa, working in a hospital setting. Your expertise spans a range of conditions from common ailments to complex diseases. As part of your commitment to ongoing medical education, you are evaluating a set of multiple choice questions (MCQs) designed for medical students. 
Carefully select the most appropriate answer based on your clinical knowledge. 
You should directly answer the question by choosing the correct option first and then provide a rationale for your answer. 
###Question: 
You are counseling the family of a 15-year-old female with a BMI of 38 and type II diabetes on the surgical options for weight loss. 

Of the following bariatric procedures, which is most likely to produce adverse malabsorptive nutritional sequelae?

###options: {""option1"": ""Laparoscopic adjustable gastric banding (LAGB)"", ""option2"": ""Roux-en-Y gastric bypass (RYGB)"", ""option3"": ""laparoscopic sleeve gastrectomy (LSG)"", ""option4"": ""biliopancreatic diversion with duodenal switch (BPDS)"", ""option5"": ""n/a""}"
06bcc20456d81d9d68cb646e92aba0a4718b0088899d09b3effb7a43f52531d3,"A 14-year-old male is being assessed for weight loss surgery.

Which of the following is an indication for surgical management?

",Diabetes and obstructive sleep apnea are considered sever co-morbidities. Hypertension is considered a less severe co-morbidity. ,4,B,BMI 32 and Type II diabetes,BMI 37 and obstructive sleep apnea,BMI 37 and hypertension,BMI 46 and no identifiable co-morbidities,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: A 14-year-old male is being assessed for weight loss surgery.

Which of the following is an indication for surgical management?


###Options:
A.  BMI 32 and Type II diabetes
B.  BMI 37 and obstructive sleep apnea
C.  BMI 37 and hypertension
D.  BMI 46 and no identifiable co-morbidities

###Answer:","Answer: B. BMI 37 and obstructive sleep apnea

Rationale: In adolescents, weight loss (bariatric) surgery is generally considered if the BMI is ≥35 kg/m² with significant comorbidities or ≥40 kg/m² even without major comorbidities. Obstructive sleep apnea is a recognized severe comorbidity, so a 14-year-old with a BMI of 37 and OSA meets the criteria for surgical intervention.",B,True,"
###Instruction: You are a skilled doctor with years of experience in the medical field in Africa, working in a hospital setting. Your expertise spans a range of conditions from common ailments to complex diseases. As part of your commitment to ongoing medical education, you are evaluating a set of multiple choice questions (MCQs) designed for medical students. 
Carefully select the most appropriate answer based on your clinical knowledge. 
You should directly answer the question by choosing the correct option first and then provide a rationale for your answer. 
###Question: 
A 14-year-old male is being assessed for weight loss surgery.

Which of the following is an indication for surgical management?

###options: {""option1"": ""BMI 32 and Type II diabetes"", ""option2"": ""BMI 37 and obstructive sleep apnea"", ""option3"": ""BMI 37 and hypertension"", ""option4"": ""BMI 46 and no identifiable co-morbidities"", ""option5"": ""n/a""}"
2d6206ab0285667d016ba210e1aeaf3caed81db107fb32e0fa4e194948f1bebf,"
 A 15-year-old female presents to a specialised adolescent unit for assessment for weight-loss surgery. Her BMI for age falls on the 90th centile. 

By definition how would you classify this patient?

","The terms overweight (BMI for age and gender ≥85th percentile), obese (BMI for age and gender ≥95th percentile), and severely obese (BMI for age and gender >120% of the 95th percentile) have been used to refer to increasing grades of excess weight in children. ",4,C,Obese,Normal,Overweight,Severely obese,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: 
 A 15-year-old female presents to a specialised adolescent unit for assessment for weight-loss surgery. Her BMI for age falls on the 90th centile. 

By definition how would you classify this patient?


###Options:
A.  Obese
B.  Normal
C.  Overweight
D.  Severely obese

###Answer:","Answer: C. Overweight

Rationale: Among children and adolescents, BMI classifications are made using BMI‐for‐age growth charts. A BMI between the 85th and 95th percentiles is classified as “overweight,” whereas at or above the 95th percentile is classified as “obese.” Since her BMI is on the 90th centile, she is classified as overweight.",C,True,"
###Instruction: You are a skilled doctor with years of experience in the medical field in Africa, working in a hospital setting. Your expertise spans a range of conditions from common ailments to complex diseases. As part of your commitment to ongoing medical education, you are evaluating a set of multiple choice questions (MCQs) designed for medical students. 
Carefully select the most appropriate answer based on your clinical knowledge. 
You should directly answer the question by choosing the correct option first and then provide a rationale for your answer. 
###Question: 

 A 15-year-old female presents to a specialised adolescent unit for assessment for weight-loss surgery. Her BMI for age falls on the 90th centile. 

By definition how would you classify this patient?

###options: {""option1"": ""Obese"", ""option2"": ""Normal"", ""option3"": ""Overweight"", ""option4"": ""Severely obese"", ""option5"": ""n/a""}"
85de0d8a61bbf0c8007362fc23c17cb4cd515bf75afe1ab4b0ec185acd529b17,"Following resection of a patent urachus and bladder closure in a male infant, a transurethral catheter is lest in situ.

What is your post-operative plan for this patient?

",A patent urachus requires investigation of the urinary tract to look for bladder outlet obstruction in which the urachus is functioning as a relief valve. ,4,D,"Discharge when well with catheter in situ, and follow up at 1 week for removal",Removal of catheter 24 to 48 hours post op and discharge if good urinary stream,Inpatient ultrasound and discharge if normal,Voiding cystourethrogram after removal of catheter at 10 to 14 days post op,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: Following resection of a patent urachus and bladder closure in a male infant, a transurethral catheter is lest in situ.

What is your post-operative plan for this patient?


###Options:
A.  Discharge when well with catheter in situ, and follow up at 1 week for removal
B.  Removal of catheter 24 to 48 hours post op and discharge if good urinary stream
C.  Inpatient ultrasound and discharge if normal
D.  Voiding cystourethrogram after removal of catheter at 10 to 14 days post op

###Answer:","Answer: D. Voiding cystourethrogram after removal of catheter at 10 to 14 days post op.

Rationale:  
Following bladder surgery (such as patent urachus excision and bladder closure), it is standard to leave a transurethral catheter in place to allow the bladder to heal and to reduce the risk of leakage at the suture lines. Before the catheter is removed (usually around 10 to 14 days postoperatively), a voiding cystourethrogram (VCUG) is performed to check for any leaks. If the study is normal (i.e., no leak or complications), the catheter is then removed safely.",D,True,"
###Instruction: You are a skilled doctor with years of experience in the medical field in Africa, working in a hospital setting. Your expertise spans a range of conditions from common ailments to complex diseases. As part of your commitment to ongoing medical education, you are evaluating a set of multiple choice questions (MCQs) designed for medical students. 
Carefully select the most appropriate answer based on your clinical knowledge. 
You should directly answer the question by choosing the correct option first and then provide a rationale for your answer. 
###Question: 
Following resection of a patent urachus and bladder closure in a male infant, a transurethral catheter is lest in situ.

What is your post-operative plan for this patient?

###options: {""option1"": ""Discharge when well with catheter in situ, and follow up at 1 week for removal"", ""option2"": ""Removal of catheter 24 to 48 hours post op and discharge if good urinary stream"", ""option3"": ""Inpatient ultrasound and discharge if normal"", ""option4"": ""Voiding cystourethrogram after removal of catheter at 10 to 14 days post op"", ""option5"": ""n/a""}"
7482c32ae9a860247b3449a230e5eee576e5284cd9a57f8708e22216868cbdd4,"A 1-week old term baby presents with clear fluid draining from t the umbilicus. At exploration, you confirm a patent urachus

What is the most correct description of the operation required for this anomaly?",Failure to adequately resect the patent urachus at dome of bladder may increase the risk of future malignancies,4,D,Suture ligate the patent urachus at the umbilicus,Ligate and divide the patent urachus at the dome of the bladder,Resect the entire patent urachus and ligate and divide at the dome of the bladder,"Excision of the patent urachus, with wedge resection at dome of bladder and formal bladder repair",,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: A 1-week old term baby presents with clear fluid draining from t the umbilicus. At exploration, you confirm a patent urachus

What is the most correct description of the operation required for this anomaly?
###Options:
A.  Suture ligate the patent urachus at the umbilicus
B.  Ligate and divide the patent urachus at the dome of the bladder
C.  Resect the entire patent urachus and ligate and divide at the dome of the bladder
D.  Excision of the patent urachus, with wedge resection at dome of bladder and formal bladder repair

###Answer:","Answer: D. Excision of the patent urachus, with wedge resection at dome of bladder and formal bladder repair

Rationale: A patent urachus is a persistent connection between the bladder and the umbilicus. Surgical management typically involves excision of the entire tract to prevent recurrence and infection. This also requires removal of the urachal remnant at the bladder dome with a wedge resection and a formal bladder repair to ensure proper closure and to reduce complications.",D,True,"
###Instruction: You are a skilled doctor with years of experience in the medical field in Africa, working in a hospital setting. Your expertise spans a range of conditions from common ailments to complex diseases. As part of your commitment to ongoing medical education, you are evaluating a set of multiple choice questions (MCQs) designed for medical students. 
Carefully select the most appropriate answer based on your clinical knowledge. 
You should directly answer the question by choosing the correct option first and then provide a rationale for your answer. 
###Question: 
A 1-week old term baby presents with clear fluid draining from t the umbilicus. At exploration, you confirm a patent urachus

What is the most correct description of the operation required for this anomaly?###options: {""option1"": ""Suture ligate the patent urachus at the umbilicus"", ""option2"": ""Ligate and divide the patent urachus at the dome of the bladder"", ""option3"": ""Resect the entire patent urachus and ligate and divide at the dome of the bladder"", ""option4"": ""Excision of the patent urachus, with wedge resection at dome of bladder and formal bladder repair"", ""option5"": ""n/a""}"
03833fa3fcd1dc1c02317c0359804bf36433f93412fc7c0e5e42d4f3cca611b9,"A 3-year-old child with no significant medical or surgical history presents with bowel obstruction and is taken to theatre for exploratory laparotomy. At laparotomy you find a loop of small intestine volved around a fibrous band which extends from the umbilicus to the jejunum. 

What is the most likely cause of this finding?

",The child has no history of previous surgery making adhesive bowel obstruction unlikely. Failure of regression of a dominant omphalomesenteric artery may result in a fibrous band extending from the umbilicus to the small intestine. ,4,D,adhesive bowel obstruction,omphalomesenteric duct remnant,internal hernia,remnant of the omphalomesenteric artery,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: A 3-year-old child with no significant medical or surgical history presents with bowel obstruction and is taken to theatre for exploratory laparotomy. At laparotomy you find a loop of small intestine volved around a fibrous band which extends from the umbilicus to the jejunum. 

What is the most likely cause of this finding?


###Options:
A.  adhesive bowel obstruction
B.  omphalomesenteric duct remnant
C.  internal hernia
D.  remnant of the omphalomesenteric artery

###Answer:","Answer: B. omphalomesenteric duct remnant.

Rationale: In a child with a fibrous band running from the umbilicus to the bowel (often ileum or nearby jejunum) causing a volvulus, it is classically due to a failure of the vitelline (omphalomesenteric) duct to involute. This remnant can form a band that predisposes to small-bowel obstruction. Other causes—like simple abdominal adhesions or an internal hernia—are less likely in the absence of prior surgery or congenital internal defects.",B,False,"
###Instruction: You are a skilled doctor with years of experience in the medical field in Africa, working in a hospital setting. Your expertise spans a range of conditions from common ailments to complex diseases. As part of your commitment to ongoing medical education, you are evaluating a set of multiple choice questions (MCQs) designed for medical students. 
Carefully select the most appropriate answer based on your clinical knowledge. 
You should directly answer the question by choosing the correct option first and then provide a rationale for your answer. 
###Question: 
A 3-year-old child with no significant medical or surgical history presents with bowel obstruction and is taken to theatre for exploratory laparotomy. At laparotomy you find a loop of small intestine volved around a fibrous band which extends from the umbilicus to the jejunum. 

What is the most likely cause of this finding?

###options: {""option1"": ""adhesive bowel obstruction"", ""option2"": ""omphalomesenteric duct remnant"", ""option3"": ""internal hernia"", ""option4"": ""remnant of the omphalomesenteric artery"", ""option5"": ""n/a""}"
18fad4532780a441877ef7a155b05821f43af0ac894e5c98ff8d46102d0074b1,"A newborn presents with fever, tachycardia and erythema around the umbilicus. 
What is your immediate management for this child?","Based on suspicion of omphalitis. The immediate management of this condition in the absence of any clinical features of necrotizing fasciitis is admission and intravenous antibiotics. If the cellulitis progresses despite treatment, surgical exploration is warranted. ",4,C,Surgical debridement,Incision and drainage,Intravenous antibiotics,Oral antibiotics and observation,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: A newborn presents with fever, tachycardia and erythema around the umbilicus. 
What is your immediate management for this child?
###Options:
A.  Surgical debridement
B.  Incision and drainage
C.  Intravenous antibiotics
D.  Oral antibiotics and observation

###Answer:","C. Intravenous antibiotics.

Rationale:
A newborn with fever, tachycardia, and erythema around the umbilicus is most likely suffering from omphalitis—an infection of the umbilical stump. Because newborns can deteriorate quickly and have a higher risk of serious complications, prompt intravenous antibiotic therapy is warranted to treat the infection effectively and prevent systemic spread. Surgical intervention (surgical debridement or incision and drainage) is necessary only if there is evidence of abscess formation or necrotic tissue that fails to respond to medical management.",C,True,"
###Instruction: You are a skilled doctor with years of experience in the medical field in Africa, working in a hospital setting. Your expertise spans a range of conditions from common ailments to complex diseases. As part of your commitment to ongoing medical education, you are evaluating a set of multiple choice questions (MCQs) designed for medical students. 
Carefully select the most appropriate answer based on your clinical knowledge. 
You should directly answer the question by choosing the correct option first and then provide a rationale for your answer. 
###Question: 
A newborn presents with fever, tachycardia and erythema around the umbilicus. 
What is your immediate management for this child?###options: {""option1"": ""Surgical debridement"", ""option2"": ""Incision and drainage"", ""option3"": ""Intravenous antibiotics"", ""option4"": ""Oral antibiotics and observation"", ""option5"": ""n/a""}"
76c707d96ba337d6a4943b5012958441a7e2ba38707934d80ab4d6a7ca311924,"You are asked to review a 2-month old infant admitted to paediatrics with a severe lower respiratory tract infection. On examination you note that the umbilical cord has not yet separated.

What would your advice to the paediatrician be?

",The normal time for separation of the umbilical cord after birth ranges from 3 days to 2 months. Delayed separation of the umbilical cord has been associated with heritable neutrophil mobility defects and widespread infections that are often lethal.,4,C,Apply daily chlorhexidine to the cord,Suture ligated the excess cord,Investigate for neutrophil mobility defects,Investigate for vertical transmission of HIV,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: You are asked to review a 2-month old infant admitted to paediatrics with a severe lower respiratory tract infection. On examination you note that the umbilical cord has not yet separated.

What would your advice to the paediatrician be?


###Options:
A.  Apply daily chlorhexidine to the cord
B.  Suture ligated the excess cord
C.  Investigate for neutrophil mobility defects
D.  Investigate for vertical transmission of HIV

###Answer:","Answer: C. Investigate for neutrophil mobility defects

Rationale: Delayed separation of the umbilical cord in a 2‑month‑old infant is highly suggestive of a neutrophil function disorder, particularly leukocyte adhesion deficiency (LAD). This congenital condition features impaired neutrophil motility and chemotaxis, leading to recurrent, severe infections and the notable clinical finding of very late or absent umbilical cord separation. Therefore, evaluation of neutrophil function is the key next step.",C,True,"
###Instruction: You are a skilled doctor with years of experience in the medical field in Africa, working in a hospital setting. Your expertise spans a range of conditions from common ailments to complex diseases. As part of your commitment to ongoing medical education, you are evaluating a set of multiple choice questions (MCQs) designed for medical students. 
Carefully select the most appropriate answer based on your clinical knowledge. 
You should directly answer the question by choosing the correct option first and then provide a rationale for your answer. 
###Question: 
You are asked to review a 2-month old infant admitted to paediatrics with a severe lower respiratory tract infection. On examination you note that the umbilical cord has not yet separated.

What would your advice to the paediatrician be?

###options: {""option1"": ""Apply daily chlorhexidine to the cord"", ""option2"": ""Suture ligated the excess cord"", ""option3"": ""Investigate for neutrophil mobility defects"", ""option4"": ""Investigate for vertical transmission of HIV"", ""option5"": ""n/a""}"
413b63ec57cdc3c56814fbf81eb5f5a87df262dc732a6f0adc9c1b1f867b4efc,"A two-week old newborn is brought to the surgical clinic with and undifferentiated lesion of the umbilicus. Prior to any investigations the parents would like to know what it could be and what it is caused by.

Which of the following options regarding variants of normal embryological structures is correctly paired?

",Meckel diverticulum originates from the omphalomesenteric duct. Umbilical polyps are omphalomesenteric duct remnants. Umbilical granulomas consist of granulation tissue only. A patent urachus results from failure of the urachus to obliterate. ,4,B,Meckel diverticulum originating from the urachus,Umbilical polyp originating from remnants of the omphalomesenteric duct,Umbilical granuloma originating from the omphalomesenteric vein,Patent urachus originating from the allantois,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: A two-week old newborn is brought to the surgical clinic with and undifferentiated lesion of the umbilicus. Prior to any investigations the parents would like to know what it could be and what it is caused by.

Which of the following options regarding variants of normal embryological structures is correctly paired?


###Options:
A.  Meckel diverticulum originating from the urachus
B.  Umbilical polyp originating from remnants of the omphalomesenteric duct
C.  Umbilical granuloma originating from the omphalomesenteric vein
D.  Patent urachus originating from the allantois

###Answer:","Answer: D. Patent urachus originating from the allantois

Rationale:  
• The urachus is the normal embryological remnant of the allantois. If it fails to obliterate, the channel from the bladder to the umbilicus remains patent, giving rise to a “patent urachus.”  
• By contrast, a Meckel diverticulum or an umbilical polyp arises from remnants of the omphalomesenteric (vitelline) duct, not the urachus. An umbilical granuloma is simply overgrowth of granulation tissue, not an embryologic duct remnant. Thus, of the listed pairings, only “Patent urachus originating from the allantois” is correctly matched.",D,False,"
###Instruction: You are a skilled doctor with years of experience in the medical field in Africa, working in a hospital setting. Your expertise spans a range of conditions from common ailments to complex diseases. As part of your commitment to ongoing medical education, you are evaluating a set of multiple choice questions (MCQs) designed for medical students. 
Carefully select the most appropriate answer based on your clinical knowledge. 
You should directly answer the question by choosing the correct option first and then provide a rationale for your answer. 
###Question: 
A two-week old newborn is brought to the surgical clinic with and undifferentiated lesion of the umbilicus. Prior to any investigations the parents would like to know what it could be and what it is caused by.

Which of the following options regarding variants of normal embryological structures is correctly paired?

###options: {""option1"": ""Meckel diverticulum originating from the urachus"", ""option2"": ""Umbilical polyp originating from remnants of the omphalomesenteric duct"", ""option3"": ""Umbilical granuloma originating from the omphalomesenteric vein"", ""option4"": ""Patent urachus originating from the allantois"", ""option5"": ""n/a""}"
c26d12a61dc3360a3ba48aa69071be23249287cebd5810f43eeb4bf4ab662813,"A 4 year old girl falls from the balcony of an apartment on the third floor. On arrival in the Emergency Room she is haemodynamically stable. Initial radiographs demonstrate a right femur fracture and bilateral tibia fractures. Her chest radiograph shows no rib or sternal fractures. There is no pneumo or haemothorax. Despite this, her Sats drop to 86% on nasal prong oxygen, and she develops subcostal recessions. 

What is the most likely cause for her respiratory distress?
","Pulmonary contusion is the common in children who sustain blunt chest trauma, owing to the increased compliance of the thoracic cavity in a child. As such, the chest can absorb a large amount of kinetic energy from the impact, which is subsequently transferred to the intrathoracic structures. An initial chest radiograph may be normal. Subsequent x-rays may reveal ill-defined consolidation which is not sensitive for contusion, with differentials including aspiration, atelectasis, and infection.",4,D,Cardiac contusion,Fat embolism,Aspiration pneumonia,Pulmonary contusion,,"###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. 

###Question: A 4 year old girl falls from the balcony of an apartment on the third floor. On arrival in the Emergency Room she is haemodynamically stable. Initial radiographs demonstrate a right femur fracture and bilateral tibia fractures. Her chest radiograph shows no rib or sternal fractures. There is no pneumo or haemothorax. Despite this, her Sats drop to 86% on nasal prong oxygen, and she develops subcostal recessions. 

What is the most likely cause for her respiratory distress?

###Options:
A.  Cardiac contusion
B.  Fat embolism
C.  Aspiration pneumonia
D.  Pulmonary contusion

###Answer:","Answer: D. Pulmonary contusion

Rationale: Despite normal initial chest radiographs, children can sustain significant lung injury from high‐impact trauma such as a fall from height. Pulmonary contusions may not be evident on the first radiograph and can later manifest with respiratory distress (e.g., increased work of breathing, low oxygen saturation). Fat embolism syndrome typically occurs 24–72 hours after the injury, aspiration pneumonia would not develop so quickly, and cardiac contusion would not routinely cause marked hypoxia with subcostal recessions.",D,True,"
###Instruction: You are a skilled doctor with years of experience in the medical field in Africa, working in a hospital setting. Your expertise spans a range of conditions from common ailments to complex diseases. As part of your commitment to ongoing medical education, you are evaluating a set of multiple choice questions (MCQs) designed for medical students. 
Carefully select the most appropriate answer based on your clinical knowledge. 
You should directly answer the question by choosing the correct option first and then provide a rationale for your answer. 
###Question: 
A 4 year old girl falls from the balcony of an apartment on the third floor. On arrival in the Emergency Room she is haemodynamically stable. Initial radiographs demonstrate a right femur fracture and bilateral tibia fractures. Her chest radiograph shows no rib or sternal fractures. There is no pneumo or haemothorax. Despite this, her Sats drop to 86% on nasal prong oxygen, and she develops subcostal recessions. 

What is the most likely cause for her respiratory distress?
###options: {""option1"": ""Cardiac contusion"", ""option2"": ""Fat embolism"", ""option3"": ""Aspiration pneumonia"", ""option4"": ""Pulmonary contusion"", ""option5"": ""n/a""}"
