sample_id,split,gender,discipline,clinical_experience,country,question_type,prompt,question,question_clean,answer_options,correct_answer,answer_rationale,specialty,region_specific,mentions_Africa,mentions_age,mentions_gender,tier,neg_percent,quality,rated_african,rated_correct,rated_omission,rated_hallucination,rated_reasonable,rated_harmful,rated_bias,version,requires_african_expertise,full_prompt,results,selected_option,score
a7ee602bfd80746f73e7ce59d70ab8900b0d7ebe40241007d2d050e27b823d25,test,Male,Medicine,Licensed Professional,ZA,mcq,,"You are counseling the family of a 15-year-old female with a BMI of 38 and type II diabetes on the surgical options for weight loss. 

Of the following bariatric procedures, which is most likely to produce adverse malabsorptive nutritional sequelae?

","You are counseling the family of a 15-year-old female with a BMI of 38 and type II diabetes on the surgical options for weight loss. 

Of the following bariatric procedures, which is most likely to produce adverse malabsorptive nutritional sequelae?

","{""option1"": ""Laparoscopic adjustable gastric banding (LAGB)"", ""option2"": ""Roux-en-Y gastric bypass (RYGB)"", ""option3"": ""laparoscopic sleeve gastrectomy (LSG)"", ""option4"": ""biliopancreatic diversion with duodenal switch (BPDS)"", ""option5"": ""n/a""}",option4,"A duodenal switch is a primarily malabsorptive procedure: biliopancreatic diversion with duodenal switch results in significant nutritional abnormalities including deficiencies in vitamins A, B12, D, E and K, iron and protein. RYGB may produce similar effects, though not typically to the same degree. LAGB and LSG are primarily restrictive procedures.",Pediatrics,No,0.0,1.0,1.0,expert,1.0,,0.0,,,,,,,v2,0," 
###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. ###Question
 : 
You are counseling the family of a 15-year-old female with a BMI of 38 and type II diabetes on the surgical options for weight loss. 

Of the following bariatric procedures, which is most likely to produce adverse malabsorptive nutritional sequelae?

###options: {""option1"": ""Laparoscopic adjustable gastric banding (LAGB)"", ""option2"": ""Roux-en-Y gastric bypass (RYGB)"", ""option3"": ""laparoscopic sleeve gastrectomy (LSG)"", ""option4"": ""biliopancreatic diversion with duodenal switch (BPDS)"", ""option5"": ""n/a""}","

###Answer: 
**option4**:  biliopancreatic diversion with duodenal switch (BPDS)

**Rationale:**

Biliopancreatic diversion with duodenal switch (BPDS) is the most malabsorptive weight loss surgery. It involves both a significant restriction of food intake (like a sleeve gastrectomy) and bypassing a large portion of the small intestine, leading to reduced absorption of nutrients. This can result in deficiencies in vitamins (especially B12, iron, calcium), minerals, and fat-soluble vitamins. 

While the other procedures (LAGB, RYGB, and LSG) can also lead to some malabsorption, it is significantly less pronounced compared to BPDS. 


Let me know if you have any other questions.

",option4,1
06bcc20456d81d9d68cb646e92aba0a4718b0088899d09b3effb7a43f52531d3,test,Male,Medicine,Licensed Professional,ZA,mcq,,"A 14-year-old male is being assessed for weight loss surgery.

Which of the following is an indication for surgical management?

","A 14-year-old male is being assessed for weight loss surgery.

Which of the following is an indication for surgical management?

","{""option1"": ""BMI 32 and Type II diabetes"", ""option2"": ""BMI 37 and obstructive sleep apnea"", ""option3"": ""BMI 37 and hypertension"", ""option4"": ""BMI 46 and no identifiable co-morbidities"", ""option5"": ""n/a""}",option2,Diabetes and obstructive sleep apnea are considered sever co-morbidities. Hypertension is considered a less severe co-morbidity. ,Pediatrics,No,0.0,1.0,1.0,expert,1.0,,0.0,,,,,,,v2,0," 
###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. ###Question
 : 
A 14-year-old male is being assessed for weight loss surgery.

Which of the following is an indication for surgical management?

###options: {""option1"": ""BMI 32 and Type II diabetes"", ""option2"": ""BMI 37 and obstructive sleep apnea"", ""option3"": ""BMI 37 and hypertension"", ""option4"": ""BMI 46 and no identifiable co-morbidities"", ""option5"": ""n/a""}","

###Answer: 
**option2**: ""BMI 37 and obstructive sleep apnea""

**Rationale:**

While all the options present concerning health indicators, BMI 37 with obstructive sleep apnea (OSA) is the strongest indication for weight loss surgery. Here's why:

* **BMI:** A BMI of 37 falls into the severely obese category, significantly increasing the risk of various health complications.
* **Obstructive Sleep Apnea:** OSA is a serious condition that disrupts sleep and can lead to cardiovascular problems, hypertension, and other health issues.  Surgical weight loss can effectively address both the obesity and OSA, leading to significant improvements in overall health.

Let's analyze the other options:

* **option1:** BMI 32 and Type II diabetes: While concerning, a BMI of 32 is in the obese category, not severely obese.  Lifestyle modifications and medication might be initially considered before surgery.
* **option3:** BMI 37 and hypertension: Hypertension is a serious co-morbidity, but a BMI of 37 alone might not be sufficient to warrant immediate surgery.  
* **option4:** BMI 46 and no identifiable co-morbidities:  A BMI of 46 is extremely high, but the absence of co-morbidities might lead to a more conservative approach initially.

**Important Note:**  The decision for weight loss surgery is complex and individualized.  It involves a thorough assessment by a multidisciplinary team considering various factors beyond BMI and co-morbidities, including patient motivation, psychological well-being, and potential risks and benefits. 


",option2,1
2d6206ab0285667d016ba210e1aeaf3caed81db107fb32e0fa4e194948f1bebf,test,Male,Medicine,Licensed Professional,ZA,mcq,,"
 A 15-year-old female presents to a specialised adolescent unit for assessment for weight-loss surgery. Her BMI for age falls on the 90th centile. 

By definition how would you classify this patient?

","
 A 15-year-old female presents to a specialised adolescent unit for assessment for weight-loss surgery. Her BMI for age falls on the 90 th centile. 

By definition how would you classify this patient?

","{""option1"": ""Obese"", ""option2"": ""Normal"", ""option3"": ""Overweight"", ""option4"": ""Severely obese"", ""option5"": ""n/a""}",option3,"The terms overweight (BMI for age and gender ≥85th percentile), obese (BMI for age and gender ≥95th percentile), and severely obese (BMI for age and gender >120% of the 95th percentile) have been used to refer to increasing grades of excess weight in children. ",Pediatrics,No,0.0,1.0,1.0,expert,1.0,,0.0,,,,,,,v2,0," 
###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. ###Question
 : 

 A 15-year-old female presents to a specialised adolescent unit for assessment for weight-loss surgery. Her BMI for age falls on the 90th centile. 

By definition how would you classify this patient?

###options: {""option1"": ""Obese"", ""option2"": ""Normal"", ""option3"": ""Overweight"", ""option4"": ""Severely obese"", ""option5"": ""n/a""}","

###Answer:

**option1: Obese**

**Rationale:**

A BMI for age on the 90th centile is classified as obese according to standard growth charts used for adolescents.  

**Important Considerations:**

* **Context is Key:** While BMI is a useful tool, it's essential to consider other factors like body composition, family history, and overall health when assessing a patient for weight-loss surgery. 
* **Multidisciplinary Approach:**  Weight-loss surgery in adolescents is a complex decision that requires a multidisciplinary team involving physicians, psychologists, nutritionists, and the patient's family. 


",option1,0
85de0d8a61bbf0c8007362fc23c17cb4cd515bf75afe1ab4b0ec185acd529b17,test,Male,Medicine,Licensed Professional,ZA,mcq,,"Following resection of a patent urachus and bladder closure in a male infant, a transurethral catheter is lest in situ.

What is your post-operative plan for this patient?

","Following resection of a patent urachus and bladder closure in a male infant, a transurethral catheter is lest in situ.

What is your post-operative plan for this patient?

","{""option1"": ""Discharge when well with catheter in situ, and follow up at 1 week for removal"", ""option2"": ""Removal of catheter 24 to 48 hours post op and discharge if good urinary stream"", ""option3"": ""Inpatient ultrasound and discharge if normal"", ""option4"": ""Voiding cystourethrogram after removal of catheter at 10 to 14 days post op"", ""option5"": ""n/a""}",option4,A patent urachus requires investigation of the urinary tract to look for bladder outlet obstruction in which the urachus is functioning as a relief valve. ,Pediatrics,No,0.0,0.0,1.0,expert,1.0,,0.0,,,,,,,v2,0," 
###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. ###Question
 : 
Following resection of a patent urachus and bladder closure in a male infant, a transurethral catheter is lest in situ.

What is your post-operative plan for this patient?

###options: {""option1"": ""Discharge when well with catheter in situ, and follow up at 1 week for removal"", ""option2"": ""Removal of catheter 24 to 48 hours post op and discharge if good urinary stream"", ""option3"": ""Inpatient ultrasound and discharge if normal"", ""option4"": ""Voiding cystourethrogram after removal of catheter at 10 to 14 days post op"", ""option5"": ""n/a""}","

###Answer: 
**option2**: Removal of catheter 24 to 48 hours post op and discharge if good urinary stream

**Rationale:**

In a male infant who has undergone resection of a patent urachus and bladder closure, the transurethral catheter is typically left in place for a short period to ensure adequate bladder drainage and prevent complications like urinary retention. 

* **Option 1** is incorrect because leaving the catheter in situ for a week increases the risk of catheter-associated urinary tract infections (CAUTIs) and other complications.
* **Option 3** is unnecessary. An ultrasound may be indicated if there are concerns about bladder function or obstruction, but it's not routinely performed in uncomplicated cases.
* **Option 4** is not the immediate post-operative plan. A voiding cystourethrogram (VCUG) is typically performed later to assess for any vesicoureteral reflux, which is a potential complication of bladder surgery.
* **Option 5** is incorrect because there is a clear post-operative plan for this patient.



The ideal scenario is to remove the catheter within 24 to 48 hours post-operatively and discharge the infant if they have a good urinary stream, indicating normal bladder function. This minimizes the risk of complications and allows for early recovery. 
",option2,0
7482c32ae9a860247b3449a230e5eee576e5284cd9a57f8708e22216868cbdd4,test,Male,Medicine,Licensed Professional,ZA,mcq,,"A 1-week old term baby presents with clear fluid draining from t the umbilicus. At exploration, you confirm a patent urachus

What is the most correct description of the operation required for this anomaly?","A 1-week old term baby presents with clear fluid draining from t the umbilicus. At exploration, you confirm a patent urachus

What is the most correct description of the operation required for this anomaly?","{""option1"": ""Suture ligate the patent urachus at the umbilicus"", ""option2"": ""Ligate and divide the patent urachus at the dome of the bladder"", ""option3"": ""Resect the entire patent urachus and ligate and divide at the dome of the bladder"", ""option4"": ""Excision of the patent urachus, with wedge resection at dome of bladder and formal bladder repair"", ""option5"": ""n/a""}",option4,Failure to adequately resect the patent urachus at dome of bladder may increase the risk of future malignancies,Pediatrics,No,0.0,0.0,0.0,expert,1.0,,0.0,,,,,,,v2,0," 
###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. ###Question
 : 
A 1-week old term baby presents with clear fluid draining from t the umbilicus. At exploration, you confirm a patent urachus

What is the most correct description of the operation required for this anomaly?###options: {""option1"": ""Suture ligate the patent urachus at the umbilicus"", ""option2"": ""Ligate and divide the patent urachus at the dome of the bladder"", ""option3"": ""Resect the entire patent urachus and ligate and divide at the dome of the bladder"", ""option4"": ""Excision of the patent urachus, with wedge resection at dome of bladder and formal bladder repair"", ""option5"": ""n/a""}","

###Answer: 
**option2"": ""Ligate and divide the patent urachus at the dome of the bladder""**

###Rationale: 

A patent urachus is a congenital anomaly where the urachus, a fibrous cord connecting the bladder to the umbilicus during fetal development, fails to close completely. This can result in urine leakage from the umbilicus. 

The most appropriate surgical management for a patent urachus is to ligate and divide the urachus at its bladder end (dome of the bladder). This ensures complete closure of the connection and prevents further urine leakage. 

Here's why the other options are less suitable:

* **option1"": ""Suture ligate the patent urachus at the umbilicus:** This would only address the external portion of the urachus and not the underlying bladder connection.
* **option3"": ""Resect the entire patent urachus and ligate and divide at the dome of the bladder"":** Resection of the entire urachus is more extensive than necessary and carries a higher risk of complications.
* **option4"": ""Excision of the patent urachus, with wedge resection at dome of bladder and formal bladder repair"":** This is an overly aggressive approach reserved for complex cases with associated bladder abnormalities.
* **option5"": ""n/a"":** This is incorrect as surgical intervention is necessary to manage a patent urachus. 



",option2,0
03833fa3fcd1dc1c02317c0359804bf36433f93412fc7c0e5e42d4f3cca611b9,test,Male,Medicine,Licensed Professional,ZA,mcq,,"A 3-year-old child with no significant medical or surgical history presents with bowel obstruction and is taken to theatre for exploratory laparotomy. At laparotomy you find a loop of small intestine volved around a fibrous band which extends from the umbilicus to the jejunum. 

What is the most likely cause of this finding?

","A 3-year-old child with no significant medical or surgical history presents with bowel obstruction and is taken to theatre for exploratory laparotomy. At laparotomy you find a loop of small intestine volved around a fibrous band which extends from the umbilicus to the jejunum. 

What is the most likely cause of this finding?

","{""option1"": ""adhesive bowel obstruction"", ""option2"": ""omphalomesenteric duct remnant"", ""option3"": ""internal hernia"", ""option4"": ""remnant of the omphalomesenteric artery"", ""option5"": ""n/a""}",option4,The child has no history of previous surgery making adhesive bowel obstruction unlikely. Failure of regression of a dominant omphalomesenteric artery may result in a fibrous band extending from the umbilicus to the small intestine. ,Pediatrics,No,0.0,1.0,0.0,expert,1.0,,0.0,,,,,,,v2,0," 
###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. ###Question
 : 
A 3-year-old child with no significant medical or surgical history presents with bowel obstruction and is taken to theatre for exploratory laparotomy. At laparotomy you find a loop of small intestine volved around a fibrous band which extends from the umbilicus to the jejunum. 

What is the most likely cause of this finding?

###options: {""option1"": ""adhesive bowel obstruction"", ""option2"": ""omphalomesenteric duct remnant"", ""option3"": ""internal hernia"", ""option4"": ""remnant of the omphalomesenteric artery"", ""option5"": ""n/a""}","

###Answer: 
**option2"": ""omphalomesenteric duct remnant""**

###Rationale: 
The classic presentation of an omphalomesenteric duct remnant is a fibrous band extending from the umbilicus to the small intestine, leading to bowel obstruction. This band is a remnant of the structure that connects the yolk sac to the developing embryo. 

Here's why the other options are less likely:

* **option1"": ""adhesive bowel obstruction"":** Adhesions are more common in patients with a history of abdominal surgery. This child has no such history.
* **option3"": ""internal hernia"":** Internal hernias occur when a loop of bowel herniates through a defect in the abdominal wall. This is less likely in this case, as the fibrous band is directly connecting the umbilicus to the jejunum.
* **option4"": ""remnant of the omphalomesenteric artery"":** While the omphalomesenteric artery can also leave a remnant, it's more likely to cause bleeding rather than bowel obstruction.



Let me know if you have any other questions.
",option2,0
18fad4532780a441877ef7a155b05821f43af0ac894e5c98ff8d46102d0074b1,test,Male,Medicine,Licensed Professional,ZA,mcq,,"A newborn presents with fever, tachycardia and erythema around the umbilicus. 
What is your immediate management for this child?","A newborn presents with fever, tachycardia and erythema around the umbilicus. 
What is your immediate management for this child?","{""option1"": ""Surgical debridement"", ""option2"": ""Incision and drainage"", ""option3"": ""Intravenous antibiotics"", ""option4"": ""Oral antibiotics and observation"", ""option5"": ""n/a""}",option3,"Based on suspicion of omphalitis. The immediate management of this condition in the absence of any clinical features of necrotizing fasciitis is admission and intravenous antibiotics. If the cellulitis progresses despite treatment, surgical exploration is warranted. ",Pediatrics,No,0.0,1.0,0.0,expert,1.0,,0.0,,,,,,,v2,0," 
###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. ###Question
 : 
A newborn presents with fever, tachycardia and erythema around the umbilicus. 
What is your immediate management for this child?###options: {""option1"": ""Surgical debridement"", ""option2"": ""Incision and drainage"", ""option3"": ""Intravenous antibiotics"", ""option4"": ""Oral antibiotics and observation"", ""option5"": ""n/a""}","
###Answer: 
**option3: Intravenous antibiotics**

**Rationale:**

The clinical presentation of fever, tachycardia, and erythema around the umbilicus strongly suggests **omphalitis**, an infection of the umbilical cord stump.  

Here's why intravenous antibiotics are the immediate management:

* **Severity:**  Omphalitis can quickly progress to sepsis, a life-threatening condition. Intravenous antibiotics provide a rapid and effective way to deliver high doses of medication directly into the bloodstream, combating the infection aggressively.
* **Newborn Immune System:** Newborns have immature immune systems, making them highly susceptible to infections. Intravenous antibiotics bypass the gastrointestinal tract, ensuring faster absorption and higher blood levels of the medication.
* **Potential Complications:** Untreated omphalitis can lead to serious complications like cellulitis, abscess formation, and even meningitis.

**Other options:**

* **Surgical debridement (option1) and Incision and drainage (option2):** These procedures may be necessary in more severe cases with abscess formation, but they are not the immediate first-line treatment.
* **Oral antibiotics (option4):** Oral antibiotics are less effective in newborns due to their immature digestive systems and the risk of delayed absorption.
* **Observation (option4):**  Omphalitis requires prompt treatment. Observation alone is not appropriate and could be dangerous.



Let me know if you have any other questions.
",option3,1
76c707d96ba337d6a4943b5012958441a7e2ba38707934d80ab4d6a7ca311924,test,Male,Medicine,Licensed Professional,ZA,mcq,,"You are asked to review a 2-month old infant admitted to paediatrics with a severe lower respiratory tract infection. On examination you note that the umbilical cord has not yet separated.

What would your advice to the paediatrician be?

","You are asked to review a 2-month old infant admitted to paediatrics with a severe lower respiratory tract infection. On examination you note that the umbilical cord has not yet separated.

What would your advice to the paediatrician be?

","{""option1"": ""Apply daily chlorhexidine to the cord"", ""option2"": ""Suture ligated the excess cord"", ""option3"": ""Investigate for neutrophil mobility defects"", ""option4"": ""Investigate for vertical transmission of HIV"", ""option5"": ""n/a""}",option3,The normal time for separation of the umbilical cord after birth ranges from 3 days to 2 months. Delayed separation of the umbilical cord has been associated with heritable neutrophil mobility defects and widespread infections that are often lethal.,Pediatrics,No,0.0,0.0,0.0,expert,1.0,,0.0,,,,,,,v2,0," 
###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. ###Question
 : 
You are asked to review a 2-month old infant admitted to paediatrics with a severe lower respiratory tract infection. On examination you note that the umbilical cord has not yet separated.

What would your advice to the paediatrician be?

###options: {""option1"": ""Apply daily chlorhexidine to the cord"", ""option2"": ""Suture ligated the excess cord"", ""option3"": ""Investigate for neutrophil mobility defects"", ""option4"": ""Investigate for vertical transmission of HIV"", ""option5"": ""n/a""}","

###Answer: 
**option3:** Investigate for neutrophil mobility defects

**Rationale:**

Delayed umbilical cord separation in a 2-month-old infant with a severe lower respiratory tract infection raises concern for an underlying immunodeficiency. Neutrophil mobility defects are a common cause of recurrent and severe infections in infancy.  

Here's why the other options are less likely:

* **option1:** Applying chlorhexidine to the cord is a standard practice for infection prevention, but it's unlikely to address the underlying cause of delayed separation.
* **option2:** Suturing the excess cord is not indicated in this scenario unless there is active bleeding or a risk of entanglement.
* **option4:** While HIV can cause immunodeficiency, it's less likely to be the primary cause of delayed cord separation in this context. 
* **option5:** This option is incorrect as there is a clear clinical situation requiring medical advice. 



It's important to investigate the infant's immune system thoroughly to determine the underlying cause of the delayed cord separation and recurrent infections. 
",option3,1
413b63ec57cdc3c56814fbf81eb5f5a87df262dc732a6f0adc9c1b1f867b4efc,test,Male,Medicine,Licensed Professional,ZA,mcq,,"A two-week old newborn is brought to the surgical clinic with and undifferentiated lesion of the umbilicus. Prior to any investigations the parents would like to know what it could be and what it is caused by.

Which of the following options regarding variants of normal embryological structures is correctly paired?

","A two-week old newborn is brought to the surgical clinic with and undifferentiated lesion of the umbilicus. Prior to any investigations the parents would like to know what it could be and what it is caused by.

Which of the following options regarding variants of normal embryological structures is correctly paired?

","{""option1"": ""Meckel diverticulum originating from the urachus"", ""option2"": ""Umbilical polyp originating from remnants of the omphalomesenteric duct"", ""option3"": ""Umbilical granuloma originating from the omphalomesenteric vein"", ""option4"": ""Patent urachus originating from the allantois"", ""option5"": ""n/a""}",option2,Meckel diverticulum originates from the omphalomesenteric duct. Umbilical polyps are omphalomesenteric duct remnants. Umbilical granulomas consist of granulation tissue only. A patent urachus results from failure of the urachus to obliterate. ,Pediatrics,No,0.0,0.0,0.0,expert,1.0,,0.0,,,,,,,v2,0," 
###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. ###Question
 : 
A two-week old newborn is brought to the surgical clinic with and undifferentiated lesion of the umbilicus. Prior to any investigations the parents would like to know what it could be and what it is caused by.

Which of the following options regarding variants of normal embryological structures is correctly paired?

###options: {""option1"": ""Meckel diverticulum originating from the urachus"", ""option2"": ""Umbilical polyp originating from remnants of the omphalomesenteric duct"", ""option3"": ""Umbilical granuloma originating from the omphalomesenteric vein"", ""option4"": ""Patent urachus originating from the allantois"", ""option5"": ""n/a""}","

###Answer: 
**option2**:  Umbilical polyp originating from remnants of the omphalomesenteric duct

**Rationale:**

* **Umbilical polyps** are benign growths that arise from the **omphalomesenteric duct**, a structure that normally connects the midgut to the yolk sac during fetal development. This duct typically regresses after birth, but remnants can sometimes persist and form polyps.

Let's look at why the other options are incorrect:

* **Meckel diverticulum** originates from the **midgut** and is a remnant of the vitelline duct, not the urachus.
* **Umbilical granuloma** is an inflammatory condition that occurs when the **umbilical stump fails to heal properly**. It is not directly related to the omphalomesenteric vein.
* **Patent urachus** is a condition where the **urachus**, a structure connecting the bladder to the umbilicus, remains open after birth. It is not related to the omphalomesenteric duct. 



",option2,1
c26d12a61dc3360a3ba48aa69071be23249287cebd5810f43eeb4bf4ab662813,test,Male,Medicine,Licensed Professional,ZA,mcq,,"A 4 year old girl falls from the balcony of an apartment on the third floor. On arrival in the Emergency Room she is haemodynamically stable. Initial radiographs demonstrate a right femur fracture and bilateral tibia fractures. Her chest radiograph shows no rib or sternal fractures. There is no pneumo or haemothorax. Despite this, her Sats drop to 86% on nasal prong oxygen, and she develops subcostal recessions. 

What is the most likely cause for her respiratory distress?
","A 4 year old girl falls from the balcony of an apartment on the third floor. On arrival in the Emergency Room she is haemodynamically stable. Initial radiographs demonstrate a right femur fracture and bilateral tibia fractures. Her chest radiograph shows no rib or sternal fractures. There is no pneumo or haemothorax. Despite this, her Sats drop to 86% on nasal prong oxygen, and she develops subcostal recessions. 

What is the most likely cause for her respiratory distress?
","{""option1"": ""Cardiac contusion"", ""option2"": ""Fat embolism"", ""option3"": ""Aspiration pneumonia"", ""option4"": ""Pulmonary contusion"", ""option5"": ""n/a""}",option4,"Pulmonary contusion is the common in children who sustain blunt chest trauma, owing to the increased compliance of the thoracic cavity in a child. As such, the chest can absorb a large amount of kinetic energy from the impact, which is subsequently transferred to the intrathoracic structures. An initial chest radiograph may be normal. Subsequent x-rays may reveal ill-defined consolidation which is not sensitive for contusion, with differentials including aspiration, atelectasis, and infection.",Pediatrics,No,0.0,1.0,1.0,expert,1.0,,0.0,,,,,,,v2,0," 
###Instruction: The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer. ###Question
 : 
A 4 year old girl falls from the balcony of an apartment on the third floor. On arrival in the Emergency Room she is haemodynamically stable. Initial radiographs demonstrate a right femur fracture and bilateral tibia fractures. Her chest radiograph shows no rib or sternal fractures. There is no pneumo or haemothorax. Despite this, her Sats drop to 86% on nasal prong oxygen, and she develops subcostal recessions. 

What is the most likely cause for her respiratory distress?
###options: {""option1"": ""Cardiac contusion"", ""option2"": ""Fat embolism"", ""option3"": ""Aspiration pneumonia"", ""option4"": ""Pulmonary contusion"", ""option5"": ""n/a""}","

###Answer: 
**option4"": ""Pulmonary contusion""**

###Rationale: 
The child's presentation strongly suggests pulmonary contusion. Here's why:

* **Mechanism of Injury:** A fall from a third-story balcony is a significant trauma that can cause blunt force to the chest, leading to contusions of the lung tissue.
* **Clinical Presentation:**  
    * **Hypoxemia (low Sats):**  Pulmonary contusions impair gas exchange, resulting in low oxygen levels.
    * **Subcostal Recessions:** These are signs of respiratory distress, indicating the child is working hard to breathe.
* **Absence of Other Findings:** The lack of rib fractures, pneumothorax, or hemothorax on the chest X-ray makes other causes less likely.

**While cardiac contusion is possible, it's less likely to cause the specific respiratory distress described.** Fat embolism, aspiration pneumonia, and n/a are not the most likely causes in this scenario. 


",option4,1
